order_id,order_date,ship_date,region,category,sub_category,customer_segment,ship_mode,quantity,unit_price,discount,sales,profit
ORD-00001,17-08-21,18-08-21,Central,Electronics,Laptops,Corporate,Second Class,15,840.78,0.24,9584.89,884.13
ORD-00002,10-05-23,12-05-23,East,Electronics,Phones,Corporate,Standard,7,543.36,0.06,3575.31,282.5
ORD-00003,30-03-21,05-04-21,East,Electronics,Accessories,Consumer,Standard,11,946.85,0.05,9894.58,1171.22
ORD-00004,22-04-22,29-04-22,North,Electronics,Tablets,Consumer,Standard,11,437.12,0.04,4615.99,1240.49
ORD-00005,26-03-22,01-04-22,East,Groceries,Dairy,Consumer,Standard,6,29.22,0.09,159.54,18.15
ORD-00006,29-07-23,31-07-23,South,Electronics,Tablets,Corporate,Standard,10,629.13,0.21,4970.13,127.5
ORD-00007,15-05-23,20-05-23,North,Clothing,Sports,Corporate,Same Day,14,139.25,0.08,1793.54,503.23
ORD-00008,20-11-21,24-11-21,North,Furniture,Storage,Home Office,First Class,9,294.88,0.07,2468.15,236.58
ORD-00009,23-12-23,24-12-23,West,Clothing,Men,Home Office,First Class,14,55.5,0.06,730.38,196.89
ORD-00010,27-12-23,03-01-24,North,Furniture,Tables,Consumer,First Class,7,623.79,0.07,4060.87,689.12
ORD-00011,26-11-23,30-11-23,North,Electronics,Tablets,Consumer,Second Class,10,369.32,0.08,3397.74,1046.13
ORD-00012,22-09-23,24-09-23,West,Furniture,Beds,Consumer,Second Class,7,390.36,0.09,2486.59,668.2
ORD-00013,21-07-21,22-07-21,East,Clothing,Men,Consumer,Standard,8,44.86,0.05,340.94,99.69
ORD-00014,31-01-21,01-02-21,Southwest,Groceries,Produce,Consumer,Second Class,14,49.29,0.2,552.05,62.98
ORD-00015,24-09-23,26-09-23,South,Electronics,Phones,Corporate,Second Class,12,504.73,0.23,4663.71,125.11
ORD-00016,21-05-21,26-05-21,North,Groceries,Beverages,Consumer,First Class,4,33.55,0.06,126.15,18.28
ORD-00017,06-10-22,08-10-22,South,Electronics,Tablets,Consumer,Same Day,15,155.19,0.2,1862.28,84.88
ORD-00018,21-05-21,23-05-21,East,Electronics,Tablets,Corporate,Same Day,11,816.96,0.06,8447.37,2647.73
ORD-00019,15-11-21,18-11-21,South,Electronics,Tablets,Consumer,Second Class,5,782.84,0.24,2974.79,355.55
ORD-00020,25-09-21,01-10-21,Southwest,Electronics,Accessories,Corporate,Standard,1,212.22,0.18,174.02,11.19
ORD-00021,27-03-21,30-03-21,East,Groceries,Dairy,Home Office,Standard,4,43.99,0.11,156.6,43.04
ORD-00022,29-11-21,06-12-21,Northeast,Groceries,Dairy,Consumer,Same Day,13,40.92,0.06,500.04,143.12
ORD-00023,22-08-23,24-08-23,South,Groceries,Snacks,Consumer,First Class,4,15.37,0.2,49.18,5.55
ORD-00024,10-11-22,11-11-22,North,Groceries,Produce,Corporate,Same Day,1,17.06,0.07,15.87,3.23
ORD-00025,06-06-22,07-06-22,Central,Electronics,Laptops,Consumer,Standard,11,1385.12,0.28,10970.15,886.99
ORD-00026,29-08-22,03-09-22,North,Clothing,Sports,Corporate,Same Day,10,87.15,0.04,836.64,239.05
ORD-00027,24-06-23,28-06-23,Central,Clothing,Women,Corporate,Standard,11,73.69,0.27,591.73,27.79
ORD-00028,17-05-22,21-05-22,West,Groceries,Beverages,Consumer,Second Class,4,9.08,0.1,32.69,10.39
ORD-00029,21-05-23,23-05-23,North,Groceries,Beverages,Consumer,Standard,14,27.49,0.06,361.77,52.53
ORD-00030,31-10-23,04-11-23,Northeast,Clothing,Women,Corporate,Second Class,5,169.57,0.07,788.5,96.02
ORD-00031,26-04-22,29-04-22,East,Groceries,Dairy,Consumer,Standard,12,17.88,0.08,197.4,13.56
ORD-00032,10-02-21,17-02-21,Northeast,Furniture,Beds,Consumer,Standard,13,681.72,0.08,8153.37,2364.15
ORD-00033,13-07-22,17-07-22,West,Clothing,Sports,Corporate,First Class,15,128.23,0.09,1750.34,101.75
ORD-00034,04-08-23,06-08-23,North,Clothing,Women,Consumer,Standard,15,152.88,0.03,2224.4,124.15
ORD-00035,18-12-22,20-12-22,Central,Groceries,Dairy,Corporate,Same Day,4,24.73,0.24,75.18,10.05
ORD-00036,26-01-23,28-01-23,West,Groceries,Dairy,Corporate,Standard,5,34.51,0.12,151.84,25.66
ORD-00037,13-05-22,14-05-22,Central,Clothing,Men,Corporate,Second Class,1,91.39,0.25,68.54,8.36
ORD-00038,12-01-23,18-01-23,Northeast,Clothing,Women,Consumer,First Class,11,163.56,0.07,1673.22,450.61
ORD-00039,27-06-21,30-06-21,Northeast,Electronics,Accessories,Corporate,Second Class,6,91.61,0.09,500.19,76.08
ORD-00040,20-07-22,25-07-22,North,Groceries,Dairy,Consumer,Standard,9,25.56,0.08,211.64,16.49
ORD-00041,20-09-22,26-09-22,West,Clothing,Kids,Consumer,First Class,6,96.21,0.1,519.53,75.16
ORD-00042,15-01-22,17-01-22,South,Clothing,Kids,Home Office,First Class,5,44.09,0.22,171.95,23.54
ORD-00043,16-09-21,22-09-21,Northeast,Clothing,Men,Corporate,Second Class,8,193.44,0.05,1470.14,102.33
ORD-00044,20-04-21,22-04-21,North,Furniture,Storage,Consumer,Standard,9,649.33,0.06,5493.33,1017.11
ORD-00045,29-05-23,01-06-23,West,Electronics,Phones,Home Office,Standard,4,433.74,0.07,1613.51,278.42
ORD-00046,08-03-21,10-03-21,South,Electronics,Accessories,Consumer,Standard,5,1192.35,0.23,4590.55,391.79
ORD-00047,19-10-21,20-10-21,North,Groceries,Snacks,Consumer,Second Class,5,25.7,0.03,124.64,7.72
ORD-00048,28-05-22,29-05-22,North,Groceries,Dairy,Home Office,Second Class,5,26.91,0.06,126.48,16.88
ORD-00049,05-10-23,06-10-23,East,Clothing,Kids,Corporate,First Class,6,104.14,0.1,562.36,34.31
ORD-00050,26-08-21,02-09-21,East,Clothing,Men,Corporate,Second Class,7,108.5,0.08,698.74,45.76
ORD-00051,13-08-22,17-08-22,Northeast,Clothing,Men,Home Office,Second Class,4,69.04,0.05,262.35,79.34
ORD-00052,12-11-21,16-11-21,Southwest,Electronics,Tablets,Consumer,Second Class,8,403.41,0.21,2549.55,320.02
ORD-00053,30-04-23,03-05-23,Southwest,Clothing,Men,Consumer,Standard,10,135.39,0.21,1069.58,64.06
ORD-00054,22-10-22,29-10-22,South,Furniture,Beds,Consumer,First Class,1,737.67,0.26,545.88,62.82
ORD-00055,17-03-21,19-03-21,West,Furniture,Chairs,Home Office,Standard,9,183.79,0.12,1455.62,105.46
ORD-00056,26-03-23,01-04-23,North,Clothing,Sports,Home Office,Second Class,15,175.75,0.07,2451.71,799.94
ORD-00057,08-06-23,09-06-23,Central,Furniture,Chairs,Consumer,Second Class,15,120.41,0.26,1336.55,65.9
ORD-00058,04-01-22,06-01-22,North,Furniture,Beds,Corporate,Standard,15,539.29,0.07,7523.1,2404.93
ORD-00059,20-11-21,21-11-21,East,Clothing,Kids,Corporate,Standard,5,67.4,0.06,316.78,52.08
ORD-00060,28-08-22,29-08-22,Southwest,Furniture,Storage,Consumer,First Class,13,516.61,0.23,5171.27,281.02
ORD-00061,23-12-22,25-12-22,West,Furniture,Tables,Corporate,Same Day,11,104.02,0.07,1064.12,343.59
ORD-00062,16-02-22,18-02-22,Northeast,Groceries,Snacks,Corporate,Same Day,14,48.43,0.06,637.34,198.29
ORD-00063,04-06-21,06-06-21,Central,Electronics,Accessories,Home Office,First Class,6,180.94,0.25,814.23,89.47
ORD-00064,31-01-23,01-02-23,Central,Clothing,Kids,Home Office,Standard,2,98.21,0.24,149.28,3.8
ORD-00065,26-08-21,27-08-21,South,Clothing,Sports,Consumer,Second Class,12,112.64,0.25,1013.76,99.95
ORD-00066,27-07-22,28-07-22,Central,Electronics,Accessories,Home Office,First Class,2,1472.35,0.23,2267.42,120.41
ORD-00067,21-07-23,22-07-23,Central,Furniture,Chairs,Consumer,Standard,3,677.47,0.27,1483.66,174.43
ORD-00068,06-01-21,09-01-21,Northeast,Electronics,Laptops,Corporate,First Class,2,1008.53,0.05,1916.21,281.93
ORD-00069,13-05-23,18-05-23,North,Electronics,Accessories,Corporate,Second Class,2,705.41,0.08,1297.95,321.46
ORD-00070,05-03-21,06-03-21,Southwest,Groceries,Beverages,Corporate,Second Class,15,9.12,0.19,110.81,10.52
ORD-00071,20-02-23,25-02-23,West,Clothing,Sports,Consumer,First Class,14,176.76,0.09,2251.92,712.57
ORD-00072,28-03-23,01-04-23,Central,Clothing,Kids,Corporate,Standard,3,100.11,0.26,222.24,24.3
ORD-00073,03-05-21,08-05-21,Southwest,Furniture,Chairs,Consumer,First Class,13,117.04,0.2,1217.22,39.48
ORD-00074,15-09-23,17-09-23,Northeast,Clothing,Kids,Consumer,Standard,4,170.58,0.08,627.73,152.42
ORD-00075,02-07-22,03-07-22,South,Furniture,Storage,Home Office,Standard,3,368.56,0.24,840.32,19.9
ORD-00076,10-05-23,14-05-23,East,Clothing,Kids,Corporate,Second Class,2,39.56,0.05,75.16,13.75
ORD-00077,29-04-23,02-05-23,South,Clothing,Kids,Consumer,Standard,11,110.12,0.26,896.38,23.82
ORD-00078,09-10-21,16-10-21,South,Clothing,Men,Consumer,Standard,3,143.7,0.25,323.32,9.26
ORD-00079,08-02-21,12-02-21,Southwest,Groceries,Beverages,Corporate,First Class,7,10.25,0.24,54.53,4.1
ORD-00080,14-06-23,21-06-23,North,Clothing,Sports,Corporate,Standard,5,52.1,0.07,242.26,50.68
ORD-00081,21-12-22,27-12-22,Southwest,Furniture,Tables,Consumer,Standard,4,626.59,0.24,1904.83,181.63
ORD-00082,09-07-23,15-07-23,Southwest,Furniture,Storage,Home Office,Second Class,3,534.6,0.22,1250.96,77.85
ORD-00083,19-03-21,20-03-21,East,Electronics,Phones,Corporate,Second Class,8,891.48,0.1,6418.66,1421.71
ORD-00084,24-10-23,26-10-23,Southwest,Clothing,Kids,Home Office,Standard,11,57.07,0.21,495.94,19.37
ORD-00085,18-04-23,25-04-23,East,Furniture,Storage,Consumer,Standard,11,693.13,0.09,6938.23,659.91
ORD-00086,18-12-22,21-12-22,Southwest,Furniture,Beds,Consumer,First Class,2,650,0.22,1014,121.15
ORD-00087,15-12-23,16-12-23,West,Clothing,Kids,Consumer,Standard,4,155.57,0.07,578.72,80.29
ORD-00088,15-12-23,16-12-23,Central,Groceries,Produce,Corporate,Standard,3,9.95,0.26,22.09,1.53
ORD-00089,29-06-23,04-07-23,South,Furniture,Beds,Consumer,Standard,13,219.69,0.23,2199.1,160.25
ORD-00090,27-10-23,01-11-23,East,Electronics,Laptops,Corporate,Standard,5,125.66,0.09,571.75,117.08
ORD-00091,25-11-21,28-11-21,East,Clothing,Sports,Consumer,Same Day,14,76.42,0.08,984.29,118.84
ORD-00092,27-02-21,02-03-21,Southwest,Groceries,Snacks,Corporate,Standard,5,38.42,0.21,151.76,14.24
ORD-00093,18-03-22,25-03-22,North,Groceries,Beverages,Consumer,Standard,5,31.89,0.03,154.67,46.56
ORD-00094,22-11-23,27-11-23,South,Electronics,Accessories,Consumer,Standard,10,654.02,0.2,5232.16,434.93
ORD-00095,11-02-21,15-02-21,Northeast,Electronics,Accessories,Home Office,Standard,1,567.79,0.05,539.4,121.13
ORD-00096,23-12-22,28-12-22,East,Furniture,Beds,Home Office,Second Class,3,638.86,0.07,1782.42,112.55
ORD-00097,28-09-22,03-10-22,East,Groceries,Beverages,Consumer,First Class,4,33.48,0.07,124.55,36.09
ORD-00098,20-06-23,24-06-23,East,Electronics,Accessories,Consumer,First Class,5,1211.66,0.1,5452.47,1164.88
ORD-00099,29-08-22,01-09-22,East,Furniture,Tables,Corporate,Standard,1,522.69,0.09,475.65,136.72
ORD-00100,12-04-23,15-04-23,West,Furniture,Tables,Home Office,Standard,10,170.89,0.1,1538.01,244
ORD-00101,11-11-21,17-11-21,East,Clothing,Sports,Corporate,Second Class,9,69.73,0.05,596.19,63.09
ORD-00102,30-08-21,02-09-21,Northeast,Furniture,Tables,Home Office,Standard,15,177.72,0.05,2532.51,668.61
ORD-00103,17-10-22,23-10-22,East,Electronics,Tablets,Home Office,First Class,12,1078.87,0.06,12169.65,4205.1
ORD-00104,09-10-23,10-10-23,East,Furniture,Beds,Corporate,Second Class,10,366.68,0.08,3373.46,584.41
ORD-00105,14-09-21,17-09-21,West,Clothing,Kids,Consumer,First Class,9,44.57,0.11,357.01,23.79
ORD-00106,04-12-21,06-12-21,East,Furniture,Storage,Home Office,Second Class,5,537.24,0.06,2525.03,355.64
ORD-00107,12-12-21,17-12-21,Southwest,Electronics,Tablets,Corporate,Second Class,14,1302.48,0.2,14587.78,660.78
ORD-00108,04-03-21,08-03-21,Northeast,Clothing,Kids,Consumer,First Class,11,96.17,0.06,994.4,188.27
ORD-00109,16-10-22,22-10-22,Southwest,Clothing,Sports,Consumer,Standard,9,55.93,0.19,407.73,10.63
ORD-00110,07-05-23,09-05-23,Southwest,Groceries,Snacks,Home Office,First Class,4,25.94,0.2,83.01,1.89
ORD-00111,09-05-22,11-05-22,West,Electronics,Tablets,Consumer,First Class,11,1025.15,0.07,10487.28,1356.44
ORD-00112,03-04-21,07-04-21,North,Furniture,Storage,Corporate,Standard,9,674.22,0.07,5643.22,499.98
ORD-00113,26-11-22,01-12-22,Southwest,Groceries,Produce,Corporate,Standard,1,24.74,0.21,19.54,1.81
ORD-00114,15-10-22,17-10-22,East,Furniture,Storage,Corporate,Second Class,9,295.85,0.07,2476.26,624.37
ORD-00115,24-02-21,01-03-21,East,Groceries,Produce,Corporate,Second Class,3,20.25,0.1,54.68,6.71
ORD-00116,26-01-22,27-01-22,East,Clothing,Sports,Corporate,Standard,13,99.61,0.09,1178.39,242.28
ORD-00117,07-09-23,12-09-23,East,Groceries,Beverages,Home Office,Standard,6,40.58,0.07,226.44,44.21
ORD-00118,04-09-22,06-09-22,Southwest,Groceries,Snacks,Corporate,Second Class,8,40.18,0.2,257.15,8.9
ORD-00119,20-03-23,27-03-23,East,Groceries,Produce,Consumer,Standard,12,37.87,0.06,427.17,127.46
ORD-00120,11-07-22,13-07-22,North,Furniture,Tables,Consumer,Second Class,9,152.14,0.06,1287.1,327.38
ORD-00121,20-11-21,24-11-21,Central,Groceries,Beverages,Consumer,Standard,5,6.29,0.26,23.27,1.96
ORD-00122,25-12-21,29-12-21,Northeast,Electronics,Phones,Home Office,Standard,8,320.15,0.04,2458.75,343.04
ORD-00123,18-11-22,21-11-22,East,Furniture,Beds,Home Office,Standard,9,161.11,0.08,1333.99,169.66
ORD-00124,28-08-22,02-09-22,Central,Electronics,Accessories,Corporate,Second Class,2,631.21,0.29,896.32,18.66
ORD-00125,01-07-22,04-07-22,South,Furniture,Chairs,Consumer,Standard,4,300.9,0.23,926.77,118.08
