order_id,order_date,ship_date,region,category,sub_category,customer_segment,ship_mode,quantity,unit_price,discount,sales,profit
ORD-00001,2021-08-17,2021-08-18,Central,Electronics,Laptops,Corporate,Second Class,15,840.78,0.24,9584.89,884.13
ORD-00002,2023-05-10,2023-05-12,East,Electronics,Phones,Corporate,Standard,7,543.36,0.06,3575.31,282.5
ORD-00003,2021-03-30,2021-04-05,East,Electronics,Accessories,Consumer,Standard,11,946.85,0.05,9894.58,1171.22
ORD-00004,2022-04-22,2022-04-29,North,Electronics,Tablets,Consumer,Standard,11,437.12,0.04,4615.99,1240.49
ORD-00005,2022-03-26,2022-04-01,East,Groceries,Dairy,Consumer,Standard,6,29.22,0.09,159.54,18.15
ORD-00006,2023-07-29,2023-07-31,South,Electronics,Tablets,Corporate,Standard,10,629.13,0.21,4970.13,127.5
ORD-00007,2023-05-15,2023-05-20,North,Clothing,Sports,Corporate,Same Day,14,139.25,0.08,1793.54,503.23
ORD-00008,2021-11-20,2021-11-24,North,Furniture,Storage,Home Office,First Class,9,294.88,0.07,2468.15,236.58
ORD-00009,2023-12-23,2023-12-24,West,Clothing,Men,Home Office,First Class,14,55.5,0.06,730.38,196.89
ORD-00010,2023-12-27,2024-01-03,North,Furniture,Tables,Consumer,First Class,7,623.79,0.07,4060.87,689.12
ORD-00011,2023-11-26,2023-11-30,North,Electronics,Tablets,Consumer,Second Class,10,369.32,0.08,3397.74,1046.13
ORD-00012,2023-09-22,2023-09-24,West,Furniture,Beds,Consumer,Second Class,7,390.36,0.09,2486.59,668.2
ORD-00013,2021-07-21,2021-07-22,East,Clothing,Men,Consumer,Standard,8,44.86,0.05,340.94,99.69
ORD-00014,2021-01-31,2021-02-01,Southwest,Groceries,Produce,Consumer,Second Class,14,49.29,0.2,552.05,62.98
ORD-00015,2023-09-24,2023-09-26,South,Electronics,Phones,Corporate,Second Class,12,504.73,0.23,4663.71,125.11
ORD-00016,2021-05-21,2021-05-26,North,Groceries,Beverages,Consumer,First Class,4,33.55,0.06,126.15,18.28
ORD-00017,2022-10-06,2022-10-08,South,Electronics,Tablets,Consumer,Same Day,15,155.19,0.2,1862.28,84.88
ORD-00018,2021-05-21,2021-05-23,East,Electronics,Tablets,Corporate,Same Day,11,816.96,0.06,8447.37,2647.73
ORD-00019,2021-11-15,2021-11-18,South,Electronics,Tablets,Consumer,Second Class,5,782.84,0.24,2974.79,355.55
ORD-00020,2021-09-25,2021-10-01,Southwest,Electronics,Accessories,Corporate,Standard,1,212.22,0.18,174.02,11.19
ORD-00021,2021-03-27,2021-03-30,East,Groceries,Dairy,Home Office,Standard,4,43.99,0.11,156.6,43.04
ORD-00022,2021-11-29,2021-12-06,Northeast,Groceries,Dairy,Consumer,Same Day,13,40.92,0.06,500.04,143.12
ORD-00023,2023-08-22,2023-08-24,South,Groceries,Snacks,Consumer,First Class,4,15.37,0.2,49.18,5.55
ORD-00024,2022-11-10,2022-11-11,North,Groceries,Produce,Corporate,Same Day,1,17.06,0.07,15.87,3.23
ORD-00025,2022-06-06,2022-06-07,Central,Electronics,Laptops,Consumer,Standard,11,1385.12,0.28,10970.15,886.99
ORD-00026,2022-08-29,2022-09-03,North,Clothing,Sports,Corporate,Same Day,10,87.15,0.04,836.64,239.05
ORD-00027,2023-06-24,2023-06-28,Central,Clothing,Women,Corporate,Standard,11,73.69,0.27,591.73,27.79
ORD-00028,2022-05-17,2022-05-21,West,Groceries,Beverages,Consumer,Second Class,4,9.08,0.1,32.69,10.39
ORD-00029,2023-05-21,2023-05-23,North,Groceries,Beverages,Consumer,Standard,14,27.49,0.06,361.77,52.53
ORD-00030,2023-10-31,2023-11-04,Northeast,Clothing,Women,Corporate,Second Class,5,169.57,0.07,788.5,96.02
ORD-00031,2022-04-26,2022-04-29,East,Groceries,Dairy,Consumer,Standard,12,17.88,0.08,197.4,13.56
ORD-00032,2021-02-10,2021-02-17,Northeast,Furniture,Beds,Consumer,Standard,13,681.72,0.08,8153.37,2364.15
ORD-00033,2022-07-13,2022-07-17,West,Clothing,Sports,Corporate,First Class,15,128.23,0.09,1750.34,101.75
ORD-00034,2023-08-04,2023-08-06,North,Clothing,Women,Consumer,Standard,15,152.88,0.03,2224.4,124.15
ORD-00035,2022-12-18,2022-12-20,Central,Groceries,Dairy,Corporate,Same Day,4,24.73,0.24,75.18,10.05
ORD-00036,2023-01-26,2023-01-28,West,Groceries,Dairy,Corporate,Standard,5,34.51,0.12,151.84,25.66
ORD-00037,2022-05-13,2022-05-14,Central,Clothing,Men,Corporate,Second Class,1,91.39,0.25,68.54,8.36
ORD-00038,2023-01-12,2023-01-18,Northeast,Clothing,Women,Consumer,First Class,11,163.56,0.07,1673.22,450.61
ORD-00039,2021-06-27,2021-06-30,Northeast,Electronics,Accessories,Corporate,Second Class,6,91.61,0.09,500.19,76.08
ORD-00040,2022-07-20,2022-07-25,North,Groceries,Dairy,Consumer,Standard,9,25.56,0.08,211.64,16.49
ORD-00041,2022-09-20,2022-09-26,West,Clothing,Kids,Consumer,First Class,6,96.21,0.1,519.53,75.16
ORD-00042,2022-01-15,2022-01-17,South,Clothing,Kids,Home Office,First Class,5,44.09,0.22,171.95,23.54
ORD-00043,2021-09-16,2021-09-22,Northeast,Clothing,Men,Corporate,Second Class,8,193.44,0.05,1470.14,102.33
ORD-00044,2021-04-20,2021-04-22,North,Furniture,Storage,Consumer,Standard,9,649.33,0.06,5493.33,1017.11
ORD-00045,2023-05-29,2023-06-01,West,Electronics,Phones,Home Office,Standard,4,433.74,0.07,1613.51,278.42
ORD-00046,2021-03-08,2021-03-10,South,Electronics,Accessories,Consumer,Standard,5,1192.35,0.23,4590.55,391.79
ORD-00047,2021-10-19,2021-10-20,North,Groceries,Snacks,Consumer,Second Class,5,25.7,0.03,124.64,7.72
ORD-00048,2022-05-28,2022-05-29,North,Groceries,Dairy,Home Office,Second Class,5,26.91,0.06,126.48,16.88
ORD-00049,2023-10-05,2023-10-06,East,Clothing,Kids,Corporate,First Class,6,104.14,0.1,562.36,34.31
ORD-00050,2021-08-26,2021-09-02,East,Clothing,Men,Corporate,Second Class,7,108.5,0.08,698.74,45.76
ORD-00051,2022-08-13,2022-08-17,Northeast,Clothing,Men,Home Office,Second Class,4,69.04,0.05,262.35,79.34
ORD-00052,2021-11-12,2021-11-16,Southwest,Electronics,Tablets,Consumer,Second Class,8,403.41,0.21,2549.55,320.02
ORD-00053,2023-04-30,2023-05-03,Southwest,Clothing,Men,Consumer,Standard,10,135.39,0.21,1069.58,64.06
ORD-00054,2022-10-22,2022-10-29,South,Furniture,Beds,Consumer,First Class,1,737.67,0.26,545.88,62.82
ORD-00055,2021-03-17,2021-03-19,West,Furniture,Chairs,Home Office,Standard,9,183.79,0.12,1455.62,105.46
ORD-00056,2023-03-26,2023-04-01,North,Clothing,Sports,Home Office,Second Class,15,175.75,0.07,2451.71,799.94
ORD-00057,2023-06-08,2023-06-09,Central,Furniture,Chairs,Consumer,Second Class,15,120.41,0.26,1336.55,65.9
ORD-00058,2022-01-04,2022-01-06,North,Furniture,Beds,Corporate,Standard,15,539.29,0.07,7523.1,2404.93
ORD-00059,2021-11-20,2021-11-21,East,Clothing,Kids,Corporate,Standard,5,67.4,0.06,316.78,52.08
ORD-00060,2022-08-28,2022-08-29,Southwest,Furniture,Storage,Consumer,First Class,13,516.61,0.23,5171.27,281.02
ORD-00061,2022-12-23,2022-12-25,West,Furniture,Tables,Corporate,Same Day,11,104.02,0.07,1064.12,343.59
ORD-00062,2022-02-16,2022-02-18,Northeast,Groceries,Snacks,Corporate,Same Day,14,48.43,0.06,637.34,198.29
